18/08/2020	11:00
######	######	######	######
Input parameter	Value		
Start phase (Rad)	0.0000000000
Phase step (Rad)	1.0000000000
End phase (Rad)	50000.0000000000
Pulse 1 start time after trigger (ms)	0.1200000000
Pulse 2 start time after trigger (ms)	0.7200000000
Loop averages	1.0000000000
Sweep rate (Hz/s)	0.0000000000
k_eff  (m^-1)	0.0000000000
Pi pulse (us)	4.5000000000
Pulse separation  (ms)	3.0000000000
######	######	######	######	######
Laser phase (deg)	Average1	Standard Deviation	Average Population	Best fit
12585.512	0.286	NaN	0.286	0.327
12587.178	0.369	NaN	0.369	0.334
12578.793	0.360	NaN	0.360	0.326
12580.921	0.300	NaN	0.300	0.335
12587.386	0.373	NaN	0.373	0.335
12584.513	0.302	NaN	0.302	0.327
12583.362	0.365	NaN	0.365	0.332
12577.256	0.377	NaN	0.377	0.331
12579.924	0.290	NaN	0.290	0.329
12590.426	0.290	NaN	0.290	0.328
12582.117	0.350	NaN	0.350	0.337
12580.128	0.282	NaN	0.282	0.330
12583.324	0.360	NaN	0.360	0.332
12580.916	0.309	NaN	0.309	0.335
12581.259	0.321	NaN	0.321	0.336
12577.549	0.367	NaN	0.367	0.330
12586.635	0.346	NaN	0.346	0.332
12586.873	0.346	NaN	0.346	0.333
12577.329	0.380	NaN	0.380	0.331
12578.456	0.340	NaN	0.340	0.326
12590.488	0.292	NaN	0.292	0.328
12584.010	0.312	NaN	0.312	0.329
12584.036	0.331	NaN	0.331	0.329
12568.713	0.322	NaN	0.322	0.336
12575.781	0.308	NaN	0.308	0.337
12585.162	0.286	NaN	0.286	0.326
12577.874	0.363	NaN	0.363	0.328
12582.125	0.365	NaN	0.365	0.337
12580.368	0.376	NaN	0.376	0.332
12582.434	0.372	NaN	0.372	0.336
12581.459	0.342	NaN	0.342	0.336
12577.793	0.364	NaN	0.364	0.329
12580.063	0.288	NaN	0.288	0.330
12586.668	0.347	NaN	0.347	0.332
12580.559	0.300	NaN	0.300	0.333
12584.012	0.323	NaN	0.323	0.329
12587.605	0.378	NaN	0.378	0.336
12579.032	0.319	NaN	0.319	0.326
12579.957	0.289	NaN	0.289	0.330
12583.399	0.351	NaN	0.351	0.332
12578.232	0.355	NaN	0.355	0.327
12580.423	0.290	NaN	0.290	0.332
12574.425	0.298	NaN	0.298	0.334
12587.235	0.379	NaN	0.379	0.335
12582.652	0.382	NaN	0.382	0.336
12579.010	0.318	NaN	0.318	0.326
12585.376	0.283	NaN	0.283	0.326
12585.893	0.300	NaN	0.300	0.328
12587.483	0.375	NaN	0.375	0.336
12582.222	0.375	NaN	0.375	0.337
12584.842	0.300	NaN	0.300	0.326
12575.512	0.298	NaN	0.298	0.337
12576.491	0.352	NaN	0.352	0.335
12584.548	0.298	NaN	0.298	0.327
12580.509	0.293	NaN	0.293	0.332
12581.640	0.359	NaN	0.359	0.337
12587.760	0.383	NaN	0.383	0.337
12584.176	0.317	NaN	0.317	0.328
12577.807	0.372	NaN	0.372	0.328
12578.542	0.339	NaN	0.339	0.326
12585.091	0.288	NaN	0.288	0.326
12582.019	0.370	NaN	0.370	0.337
12582.561	0.379	NaN	0.379	0.336
12579.220	0.310	NaN	0.310	0.327
12579.997	0.293	NaN	0.293	0.330
12591.428	0.327	NaN	0.327	0.326
12578.593	0.349	NaN	0.349	0.326
12578.698	0.318	NaN	0.318	0.326
12580.075	0.290	NaN	0.290	0.330
12582.940	0.370	NaN	0.370	0.334
12585.614	0.289	NaN	0.289	0.327
12579.289	0.302	NaN	0.302	0.327
12584.623	0.294	NaN	0.294	0.327
12581.139	0.328	NaN	0.328	0.335
12583.314	0.349	NaN	0.349	0.332
12582.144	0.374	NaN	0.374	0.337
12587.372	0.372	NaN	0.372	0.335
12582.319	0.374	NaN	0.374	0.337
12575.975	0.312	NaN	0.312	0.337
12580.964	0.322	NaN	0.322	0.335
12582.194	0.368	NaN	0.368	0.337
12581.790	0.357	NaN	0.357	0.337
12585.053	0.279	NaN	0.279	0.326
12585.743	0.305	NaN	0.305	0.327
12583.073	0.363	NaN	0.363	0.334
12581.859	0.357	NaN	0.357	0.337
12584.729	0.293	NaN	0.293	0.326
12584.738	0.296	NaN	0.296	0.326
12576.420	0.338	NaN	0.338	0.335
12580.453	0.289	NaN	0.289	0.332
12582.130	0.361	NaN	0.361	0.337
12587.549	0.369	NaN	0.369	0.336
12581.492	0.346	NaN	0.346	0.337
12582.790	0.383	NaN	0.383	0.335
12584.542	0.307	NaN	0.307	0.327
12576.006	0.316	NaN	0.316	0.337
12577.925	0.360	NaN	0.360	0.328
12578.526	0.340	NaN	0.340	0.326
12580.014	0.292	NaN	0.292	0.330
12579.566	0.295	NaN	0.295	0.328
12583.312	0.355	NaN	0.355	0.333
12580.419	0.291	NaN	0.291	0.332
12588.913	0.326	NaN	0.326	0.336
12583.100	0.366	NaN	0.366	0.334
12586.055	0.315	NaN	0.315	0.329
12582.573	0.367	NaN	0.367	0.336
12581.785	0.359	NaN	0.359	0.337
12586.700	0.341	NaN	0.341	0.332
12577.003	0.359	NaN	0.359	0.333
12586.518	0.336	NaN	0.336	0.331
12586.529	0.339	NaN	0.339	0.331
12582.983	0.364	NaN	0.364	0.334
12582.733	0.367	NaN	0.367	0.335
12575.671	0.300	NaN	0.300	0.337
12584.179	0.313	NaN	0.313	0.328
12584.583	0.290	NaN	0.290	0.327
12586.644	0.343	NaN	0.343	0.332
12583.298	0.348	NaN	0.348	0.333
12583.499	0.343	NaN	0.343	0.331
12587.155	0.367	NaN	0.367	0.334
12580.728	0.293	NaN	0.293	0.334
12578.813	0.326	NaN	0.326	0.326
12583.008	0.365	NaN	0.365	0.334
12584.623	0.290	NaN	0.290	0.327
12584.803	0.283	NaN	0.283	0.326
12593.536	0.350	NaN	0.350	0.335
12593.641	0.343	NaN	0.343	0.335
12587.882	0.360	NaN	0.360	0.337
12580.439	0.284	NaN	0.284	0.332
12584.278	0.302	NaN	0.302	0.328
12581.322	0.323	NaN	0.323	0.336
12576.454	0.354	NaN	0.354	0.335
12580.647	0.298	NaN	0.298	0.333
12579.267	0.300	NaN	0.300	0.327
12580.890	0.310	NaN	0.310	0.334
12584.708	0.288	NaN	0.288	0.326
12586.976	0.359	NaN	0.359	0.333
12581.185	0.312	NaN	0.312	0.336
12576.478	0.338	NaN	0.338	0.335
12581.601	0.342	NaN	0.342	0.337
12580.582	0.291	NaN	0.291	0.333
12589.842	0.285	NaN	0.285	0.331
12587.177	0.368	NaN	0.368	0.334
12584.209	0.299	NaN	0.299	0.328
12581.655	0.354	NaN	0.354	0.337
12575.142	0.287	NaN	0.287	0.336
12582.385	0.370	NaN	0.370	0.336
12579.279	0.303	NaN	0.303	0.327
12577.976	0.358	NaN	0.358	0.328
12582.393	0.373	NaN	0.373	0.336
12587.644	0.368	NaN	0.368	0.336
12586.055	0.328	NaN	0.328	0.329
12585.434	0.298	NaN	0.298	0.326
12587.529	0.367	NaN	0.367	0.336
12585.452	0.288	NaN	0.288	0.327
12584.550	0.300	NaN	0.300	0.327
12583.026	0.353	NaN	0.353	0.334
12585.987	0.312	NaN	0.312	0.328
12584.982	0.288	NaN	0.288	0.326
12580.996	0.323	NaN	0.323	0.335
12583.193	0.356	NaN	0.356	0.333
12577.599	0.371	NaN	0.371	0.329
12581.380	0.350	NaN	0.350	0.336
12582.162	0.362	NaN	0.362	0.337
12578.663	0.333	NaN	0.333	0.326
12585.775	0.306	NaN	0.306	0.327
12586.026	0.318	NaN	0.318	0.328
12584.471	0.299	NaN	0.299	0.327
12585.999	0.310	NaN	0.310	0.328
12578.232	0.348	NaN	0.348	0.327
12579.760	0.287	NaN	0.287	0.329
12575.616	0.300	NaN	0.300	0.337
12582.865	0.364	NaN	0.364	0.335
12581.462	0.335	NaN	0.335	0.336
12578.476	0.346	NaN	0.346	0.326
12582.053	0.370	NaN	0.370	0.337
12583.562	0.326	NaN	0.326	0.331
12592.247	0.364	NaN	0.364	0.328
12580.292	0.292	NaN	0.292	0.331
12583.784	0.326	NaN	0.326	0.330
12587.628	0.373	NaN	0.373	0.336
12580.113	0.288	NaN	0.288	0.330
12586.543	0.335	NaN	0.335	0.331
12576.954	0.362	NaN	0.362	0.333
12586.458	0.346	NaN	0.346	0.331
12577.265	0.373	NaN	0.373	0.331
12579.794	0.292	NaN	0.292	0.329
12581.949	0.370	NaN	0.370	0.337
12586.030	0.320	NaN	0.320	0.328
12577.939	0.375	NaN	0.375	0.328
12581.016	0.316	NaN	0.316	0.335
12578.264	0.353	NaN	0.353	0.327
12581.188	0.327	NaN	0.327	0.336
12581.401	0.331	NaN	0.331	0.336
12575.651	0.305	NaN	0.305	0.337
12586.074	0.312	NaN	0.312	0.329
12583.268	0.366	NaN	0.366	0.333
12584.599	0.296	NaN	0.296	0.327
12581.533	0.355	NaN	0.355	0.337
12579.088	0.308	NaN	0.308	0.326
12578.547	0.340	NaN	0.340	0.326
12558.739	0.308	NaN	0.308	0.330
12573.837	0.321	NaN	0.321	0.330
12558.432	0.328	NaN	0.328	0.331
12562.044	0.377	NaN	0.377	0.334
12586.569	0.351	NaN	0.351	0.331
12587.626	0.373	NaN	0.373	0.336
12582.940	0.370	NaN	0.370	0.334
12583.898	0.320	NaN	0.320	0.329
12582.423	0.366	NaN	0.366	0.336
12612.068	0.374	NaN	0.374	0.333
12607.121	0.365	NaN	0.365	0.337
12596.614	0.352	NaN	0.352	0.329
12581.303	0.341	NaN	0.341	0.336
12584.537	0.298	NaN	0.298	0.327
12579.302	0.307	NaN	0.307	0.327
12589.357	0.303	NaN	0.303	0.334
12588.082	0.355	NaN	0.355	0.337
12578.685	0.323	NaN	0.323	0.326
12582.396	0.373	NaN	0.373	0.336
12586.131	0.318	NaN	0.318	0.329
12581.375	0.351	NaN	0.351	0.336
12578.707	0.320	NaN	0.320	0.326
12584.687	0.291	NaN	0.291	0.326
12580.627	0.303	NaN	0.303	0.333
12585.434	0.299	NaN	0.299	0.326
12579.721	0.293	NaN	0.293	0.328
12587.075	0.370	NaN	0.370	0.334
12579.428	0.290	NaN	0.290	0.327
12581.891	0.355	NaN	0.355	0.337
12582.052	0.373	NaN	0.373	0.337
12580.952	0.323	NaN	0.323	0.335
12584.401	0.310	NaN	0.310	0.327
12585.111	0.291	NaN	0.291	0.326
12578.509	0.337	NaN	0.337	0.326
12580.185	0.291	NaN	0.291	0.331
12581.089	0.326	NaN	0.326	0.335
12580.000	0.292	NaN	0.292	0.330
12584.447	0.293	NaN	0.293	0.327
12575.940	0.320	NaN	0.320	0.337
12574.929	0.288	NaN	0.288	0.336
12585.197	0.289	NaN	0.289	0.326
12579.439	0.291	NaN	0.291	0.327
12586.198	0.320	NaN	0.320	0.329
12586.206	0.342	NaN	0.342	0.329
12586.010	0.313	NaN	0.313	0.328
12582.566	0.373	NaN	0.373	0.336
12580.862	0.320	NaN	0.320	0.334
12579.706	0.289	NaN	0.289	0.328
12575.612	0.303	NaN	0.303	0.337
12578.302	0.348	NaN	0.348	0.327
12580.464	0.302	NaN	0.302	0.332
12585.455	0.296	NaN	0.296	0.327
12579.969	0.290	NaN	0.290	0.330
12579.228	0.305	NaN	0.305	0.327
12577.874	0.364	NaN	0.364	0.328
12579.412	0.298	NaN	0.298	0.327
12582.058	0.372	NaN	0.372	0.337
12588.315	0.348	NaN	0.348	0.337
12580.173	0.794	NaN	0.794	0.331
12583.546	0.332	NaN	0.332	0.331
12580.979	0.329	NaN	0.329	0.335
12582.419	0.369	NaN	0.369	0.336
12578.638	0.321	NaN	0.321	0.326
12585.092	0.295	NaN	0.295	0.326
12578.577	0.335	NaN	0.335	0.326
12578.760	0.801	NaN	0.801	0.326
12574.686	0.286	NaN	0.286	0.335
12582.622	0.356	NaN	0.356	0.336
12591.275	0.343	NaN	0.343	0.326
12581.312	0.340	NaN	0.340	0.336
12582.033	0.363	NaN	0.363	0.337
12582.416	0.289	NaN	0.289	0.336
12580.759	0.804	NaN	0.804	0.334
12583.236	0.349	NaN	0.349	0.333
12582.992	0.349	NaN	0.349	0.334
12584.581	0.288	NaN	0.288	0.327
12580.216	0.303	NaN	0.303	0.331
12581.932	0.368	NaN	0.368	0.337
12584.038	0.315	NaN	0.315	0.329
12581.453	0.351	NaN	0.351	0.336
12583.470	0.334	NaN	0.334	0.332
12579.314	0.287	NaN	0.287	0.327
12583.357	0.335	NaN	0.335	0.332
12584.276	0.296	NaN	0.296	0.328
12579.018	0.306	NaN	0.306	0.326
12585.718	0.317	NaN	0.317	0.327
12579.607	0.291	NaN	0.291	0.328
12581.974	0.370	NaN	0.370	0.337
12576.065	0.341	NaN	0.341	0.337
12583.656	0.328	NaN	0.328	0.331
12579.372	0.301	NaN	0.301	0.327
12574.643	0.287	NaN	0.287	0.335
12580.510	0.313	NaN	0.313	0.332
12577.686	0.361	NaN	0.361	0.329
12578.746	0.316	NaN	0.316	0.326
12576.486	0.350	NaN	0.350	0.335
12582.034	0.362	NaN	0.362	0.337
12581.087	0.335	NaN	0.335	0.335
12584.387	0.290	NaN	0.290	0.327
12587.697	0.370	NaN	0.370	0.336
12583.186	0.350	NaN	0.350	0.333
12579.613	0.293	NaN	0.293	0.328
12582.805	0.368	NaN	0.368	0.335
12576.321	0.345	NaN	0.345	0.336
12572.777	0.362	NaN	0.362	0.326
12577.836	0.353	NaN	0.353	0.328
12584.629	0.291	NaN	0.291	0.327
12589.097	0.324	NaN	0.324	0.335
12580.128	0.288	NaN	0.288	0.330
12580.587	0.310	NaN	0.310	0.333
12585.683	0.308	NaN	0.308	0.327
12588.132	0.361	NaN	0.361	0.337
12582.219	0.371	NaN	0.371	0.337
12575.873	0.331	NaN	0.331	0.337
12589.524	0.292	NaN	0.292	0.333
12586.883	0.363	NaN	0.363	0.333
12585.247	0.297	NaN	0.297	0.326
12579.755	0.287	NaN	0.287	0.329
12578.710	0.313	NaN	0.313	0.326
12579.749	0.286	NaN	0.286	0.329
12572.754	0.362	NaN	0.362	0.326
12576.736	0.372	NaN	0.372	0.334
12584.119	0.307	NaN	0.307	0.328
12580.734	0.318	NaN	0.318	0.334
12584.236	0.300	NaN	0.300	0.328
12579.554	0.289	NaN	0.289	0.328
12573.806	0.317	NaN	0.317	0.330
12593.894	0.326	NaN	0.326	0.336
12581.340	0.338	NaN	0.338	0.336
12587.583	0.791	NaN	0.791	0.336
12579.895	0.290	NaN	0.290	0.329
12578.765	0.307	NaN	0.307	0.326
12578.716	0.303	NaN	0.303	0.326
12588.020	0.361	NaN	0.361	0.337
12580.186	0.300	NaN	0.300	0.331
12590.785	0.317	NaN	0.317	0.327
12588.611	0.330	NaN	0.330	0.337
12584.191	0.299	NaN	0.299	0.328
12584.168	0.299	NaN	0.299	0.328
12580.964	0.324	NaN	0.324	0.335
12582.118	0.369	NaN	0.369	0.337
12581.720	0.348	NaN	0.348	0.337
12582.512	0.372	NaN	0.372	0.336
12578.866	0.316	NaN	0.316	0.326
12584.824	0.284	NaN	0.284	0.326
12586.090	0.324	NaN	0.324	0.329
12581.980	0.372	NaN	0.372	0.337
12581.824	0.365	NaN	0.365	0.337
12576.625	0.356	NaN	0.356	0.335
12576.141	0.334	NaN	0.334	0.336
12584.231	0.309	NaN	0.309	0.328
12575.421	0.297	NaN	0.297	0.337
12585.871	0.313	NaN	0.313	0.328
12579.719	0.286	NaN	0.286	0.328
12580.625	0.304	NaN	0.304	0.333
12576.299	0.344	NaN	0.344	0.336
12580.581	0.320	NaN	0.320	0.333
12577.004	0.370	NaN	0.370	0.333
12574.224	0.299	NaN	0.299	0.332
12583.361	0.334	NaN	0.334	0.332
12573.565	0.321	NaN	0.321	0.329
12581.114	0.325	NaN	0.325	0.335
12578.456	0.329	NaN	0.329	0.326
12586.092	0.345	NaN	0.345	0.329
12591.363	0.339	NaN	0.339	0.326
12580.242	0.290	NaN	0.290	0.331
12579.317	0.292	NaN	0.292	0.327
12582.644	0.363	NaN	0.363	0.336
12579.637	0.289	NaN	0.289	0.328
12588.545	0.347	NaN	0.347	0.337
12580.768	0.312	NaN	0.312	0.334
12580.657	0.327	NaN	0.327	0.333
12576.582	0.359	NaN	0.359	0.335
12584.586	0.293	NaN	0.293	0.327
12578.406	0.335	NaN	0.335	0.326
12582.999	0.356	NaN	0.356	0.334
12583.628	0.337	NaN	0.337	0.331
12587.024	0.368	NaN	0.368	0.334
12584.646	0.288	NaN	0.288	0.327
12590.258	0.291	NaN	0.291	0.329
12582.280	0.372	NaN	0.372	0.337
12583.417	0.331	NaN	0.331	0.332
12583.463	0.344	NaN	0.344	0.332
12579.539	0.290	NaN	0.290	0.328
12585.948	0.323	NaN	0.323	0.328
12587.054	0.368	NaN	0.368	0.334
12586.662	0.358	NaN	0.358	0.332
12577.445	0.374	NaN	0.374	0.330
12569.381	0.290	NaN	0.290	0.337
12572.799	0.360	NaN	0.360	0.326
12571.296	0.339	NaN	0.339	0.330
12580.023	0.296	NaN	0.296	0.330
12581.206	0.332	NaN	0.332	0.336
12584.611	0.289	NaN	0.289	0.327
12578.732	0.314	NaN	0.314	0.326
12574.512	0.293	NaN	0.293	0.334
12580.676	0.320	NaN	0.320	0.333
12585.846	0.335	NaN	0.335	0.328
12577.484	0.372	NaN	0.372	0.330
12574.619	0.289	NaN	0.289	0.334
12578.203	0.342	NaN	0.342	0.327
12580.797	0.316	NaN	0.316	0.334
12575.735	0.320	NaN	0.320	0.337
12588.081	0.367	NaN	0.367	0.337
12569.898	0.295	NaN	0.295	0.336
12578.085	0.353	NaN	0.353	0.327
12583.256	0.337	NaN	0.337	0.333
12579.347	0.294	NaN	0.294	0.327
12583.744	0.311	NaN	0.311	0.330
12587.622	0.356	NaN	0.356	0.336
12582.443	0.370	NaN	0.370	0.336
12581.223	0.359	NaN	0.359	0.336
12582.566	0.369	NaN	0.369	0.336
12581.413	0.341	NaN	0.341	0.336
12573.644	0.322	NaN	0.322	0.329
12583.443	0.327	NaN	0.327	0.332
12591.208	0.326	NaN	0.326	0.326
12585.230	0.301	NaN	0.301	0.326
12589.078	0.298	NaN	0.298	0.335
12580.553	0.318	NaN	0.318	0.333
12584.654	0.287	NaN	0.287	0.327
12585.283	0.302	NaN	0.302	0.326
12581.353	0.344	NaN	0.344	0.336
12581.672	0.352	NaN	0.352	0.337
12580.756	0.321	NaN	0.321	0.334
12583.226	0.328	NaN	0.328	0.333
12588.742	0.336	NaN	0.336	0.336
12581.001	0.334	NaN	0.334	0.335
12588.029	0.357	NaN	0.357	0.337
12583.559	0.329	NaN	0.329	0.331
12581.007	0.344	NaN	0.344	0.335
12585.716	0.328	NaN	0.328	0.327
12577.895	0.348	NaN	0.348	0.328
12579.861	0.291	NaN	0.291	0.329
12579.912	0.293	NaN	0.293	0.329
12578.442	0.332	NaN	0.332	0.326
12586.806	0.354	NaN	0.354	0.333
12580.164	0.298	NaN	0.298	0.331
12583.600	0.315	NaN	0.315	0.331
12583.205	0.344	NaN	0.344	0.333
12579.597	0.289	NaN	0.289	0.328
12585.752	0.325	NaN	0.325	0.327
12582.031	0.366	NaN	0.366	0.337
12584.754	0.290	NaN	0.290	0.326
12583.224	0.341	NaN	0.341	0.333
12583.700	0.314	NaN	0.314	0.330
12581.029	0.344	NaN	0.344	0.335
12577.261	0.375	NaN	0.375	0.331
12584.783	0.293	NaN	0.293	0.326
12580.396	0.307	NaN	0.307	0.332
12582.931	0.360	NaN	0.360	0.334
12578.396	0.328	NaN	0.328	0.326
12586.513	0.350	NaN	0.350	0.331
12581.644	0.364	NaN	0.364	0.337
12582.727	0.363	NaN	0.363	0.335
12585.693	0.304	NaN	0.304	0.327
12581.690	0.358	NaN	0.358	0.337
12580.067	0.294	NaN	0.294	0.330
12585.969	0.328	NaN	0.328	0.328
12578.133	0.342	NaN	0.342	0.327
12575.387	0.316	NaN	0.316	0.337
12580.762	0.318	NaN	0.318	0.334
12581.640	0.371	NaN	0.371	0.337
12585.544	0.316	NaN	0.316	0.327
12582.563	0.369	NaN	0.369	0.336
12581.174	0.346	NaN	0.346	0.336
12583.724	0.323	NaN	0.323	0.330
12581.622	0.366	NaN	0.366	0.337
12586.718	0.360	NaN	0.360	0.332
12577.064	0.370	NaN	0.370	0.332
12585.431	0.297	NaN	0.297	0.326
12573.874	0.307	NaN	0.307	0.331
12579.889	0.296	NaN	0.296	0.329
12579.701	0.294	NaN	0.294	0.328
12579.046	0.298	NaN	0.298	0.326
12581.285	0.352	NaN	0.352	0.336
12582.503	0.367	NaN	0.367	0.336
12581.704	0.361	NaN	0.361	0.337
12580.024	0.296	NaN	0.296	0.330
12582.766	0.353	NaN	0.353	0.335
12581.064	0.344	NaN	0.344	0.335
12584.296	0.304	NaN	0.304	0.328
12580.033	0.292	NaN	0.292	0.330
12583.529	0.328	NaN	0.328	0.331
12584.111	0.297	NaN	0.297	0.328
12582.994	0.345	NaN	0.345	0.334
12585.027	0.295	NaN	0.295	0.326
12581.174	0.344	NaN	0.344	0.336
12585.585	0.321	NaN	0.321	0.327
12592.165	0.364	NaN	0.364	0.328
12584.881	0.292	NaN	0.292	0.326
12584.193	0.302	NaN	0.302	0.328
12581.596	0.368	NaN	0.368	0.337
12589.728	0.286	NaN	0.286	0.332
12582.086	0.374	NaN	0.374	0.337
12583.629	0.325	NaN	0.325	0.331
12581.317	0.359	NaN	0.359	0.336
12579.520	0.292	NaN	0.292	0.328
12580.973	0.334	NaN	0.334	0.335
12578.053	0.341	NaN	0.341	0.327
12586.086	0.341	NaN	0.341	0.329
12578.519	0.322	NaN	0.322	0.326
12582.663	0.367	NaN	0.367	0.336
12580.512	0.318	NaN	0.318	0.332
12586.084	0.341	NaN	0.341	0.329
12579.865	0.294	NaN	0.294	0.329
12584.837	0.296	NaN	0.296	0.326
12581.133	0.357	NaN	0.357	0.335
12580.684	0.320	NaN	0.320	0.333
12579.459	0.294	NaN	0.294	0.327
12580.995	0.346	NaN	0.346	0.335
12586.125	0.347	NaN	0.347	0.329
12584.168	0.303	NaN	0.303	0.328
12588.165	0.344	NaN	0.344	0.337
12577.052	0.371	NaN	0.371	0.332
12574.554	0.295	NaN	0.295	0.334
12574.871	0.286	NaN	0.286	0.336
12579.132	0.298	NaN	0.298	0.326
12583.707	0.315	NaN	0.315	0.330
12584.507	0.289	NaN	0.289	0.327
12577.673	0.369	NaN	0.369	0.329
12580.667	0.330	NaN	0.330	0.333
12583.740	0.311	NaN	0.311	0.330
12581.570	0.357	NaN	0.357	0.337
12587.590	0.361	NaN	0.361	0.336
12579.017	0.302	NaN	0.302	0.326
12574.245	0.301	NaN	0.301	0.333
12590.097	0.295	NaN	0.295	0.330
12583.968	0.317	NaN	0.317	0.329
12576.860	0.370	NaN	0.370	0.333
12582.453	0.371	NaN	0.371	0.336
12580.428	0.314	NaN	0.314	0.332
12576.301	0.350	NaN	0.350	0.336
12594.954	0.292	NaN	0.292	0.336
12583.207	0.349	NaN	0.349	0.333
12584.831	0.291	NaN	0.291	0.326
12575.149	0.296	NaN	0.296	0.336
12578.510	0.311	NaN	0.311	0.326
12584.788	0.295	NaN	0.295	0.326
12581.158	0.343	NaN	0.343	0.336
12580.294	0.310	NaN	0.310	0.331
12578.247	0.337	NaN	0.337	0.327
12582.663	0.370	NaN	0.370	0.336
12580.410	0.314	NaN	0.314	0.332
12579.438	0.293	NaN	0.293	0.327
12582.879	0.356	NaN	0.356	0.335
12581.700	0.364	NaN	0.364	0.337
12582.688	0.365	NaN	0.365	0.335
12584.914	0.293	NaN	0.293	0.326
12585.102	0.305	NaN	0.305	0.326
12578.857	0.310	NaN	0.310	0.326
12589.372	0.307	NaN	0.307	0.334
12589.942	0.297	NaN	0.297	0.331
12579.429	0.294	NaN	0.294	0.327
12580.075	0.298	NaN	0.298	0.330
12578.785	0.329	NaN	0.329	0.326
12579.572	0.294	NaN	0.294	0.328
12589.757	0.292	NaN	0.292	0.332
12580.001	0.296	NaN	0.296	0.330
12584.843	0.293	NaN	0.293	0.326
12581.072	0.332	NaN	0.332	0.335
12574.228	0.291	NaN	0.291	0.332
12592.395	0.372	NaN	0.372	0.329
12566.758	0.370	NaN	0.370	0.327
12570.715	0.344	NaN	0.344	0.333
12573.172	0.331	NaN	0.331	0.327
12595.533	0.304	NaN	0.304	0.334
12580.722	0.329	NaN	0.329	0.334
12586.879	0.372	NaN	0.372	0.333
12581.329	0.350	NaN	0.350	0.336
12580.435	0.319	NaN	0.319	0.332
12574.770	0.298	NaN	0.298	0.335
12581.884	0.373	NaN	0.373	0.337
12581.645	0.356	NaN	0.356	0.337
12583.114	0.345	NaN	0.345	0.334
12579.750	0.293	NaN	0.293	0.329
12582.686	0.371	NaN	0.371	0.335
12584.977	0.298	NaN	0.298	0.326
12586.967	0.366	NaN	0.366	0.333
12592.470	0.370	NaN	0.370	0.329
12580.386	0.313	NaN	0.313	0.332
12580.384	0.303	NaN	0.303	0.332
12576.752	0.372	NaN	0.372	0.334
12575.036	0.300	NaN	0.300	0.336
12576.210	0.354	NaN	0.354	0.336
12582.341	0.370	NaN	0.370	0.337
12576.264	0.341	NaN	0.341	0.336
12570.207	0.303	NaN	0.303	0.335
12571.149	0.364	NaN	0.364	0.330
12575.187	0.328	NaN	0.328	0.337
12586.332	0.350	NaN	0.350	0.330
12592.005	0.367	NaN	0.367	0.327
12577.740	0.347	NaN	0.347	0.329
12584.482	0.293	NaN	0.293	0.327
12591.478	0.360	NaN	0.360	0.326
12574.239	0.287	NaN	0.287	0.333
12580.609	0.338	NaN	0.338	0.333
12580.513	0.307	NaN	0.307	0.332
12579.272	0.290	NaN	0.290	0.327
12575.214	0.312	NaN	0.312	0.337
12579.649	0.294	NaN	0.294	0.328
12579.599	0.296	NaN	0.296	0.328
12583.859	0.307	NaN	0.307	0.330
12582.064	0.372	NaN	0.372	0.337
12583.716	0.318	NaN	0.318	0.330
12583.479	0.310	NaN	0.310	0.332
12580.270	0.300	NaN	0.300	0.331
12582.186	0.378	NaN	0.378	0.337
12575.443	0.322	NaN	0.322	0.337
12585.320	0.294	NaN	0.294	0.326
12583.674	0.314	NaN	0.314	0.331
12585.867	0.331	NaN	0.331	0.328
12580.600	0.330	NaN	0.330	0.333
12575.980	0.349	NaN	0.349	0.337
12582.543	0.370	NaN	0.370	0.336
12581.809	0.368	NaN	0.368	0.337
12587.108	0.374	NaN	0.374	0.334
12581.055	0.348	NaN	0.348	0.335
12587.395	0.368	NaN	0.368	0.335
12577.478	0.367	NaN	0.367	0.330
12576.242	0.357	NaN	0.357	0.336
12576.738	0.370	NaN	0.370	0.334
12577.295	0.370	NaN	0.370	0.331
12581.534	0.353	NaN	0.353	0.337
12579.171	0.299	NaN	0.299	0.327
12581.999	0.372	NaN	0.372	0.337
12577.113	0.367	NaN	0.367	0.332
12582.895	0.345	NaN	0.345	0.335
12585.812	0.327	NaN	0.327	0.328
12584.026	0.294	NaN	0.294	0.329
12583.903	0.306	NaN	0.306	0.329
12580.518	0.322	NaN	0.322	0.333
12585.095	0.299	NaN	0.299	0.326
12584.227	0.289	NaN	0.289	0.328
12579.277	0.290	NaN	0.290	0.327
12577.142	0.364	NaN	0.364	0.332
12578.367	0.328	NaN	0.328	0.327
12576.347	0.352	NaN	0.352	0.336
12577.409	0.355	NaN	0.355	0.330
12586.890	0.371	NaN	0.371	0.333
12582.553	0.366	NaN	0.366	0.336
12583.465	0.315	NaN	0.315	0.332
12586.502	0.359	NaN	0.359	0.331
12580.697	0.340	NaN	0.340	0.333
12574.920	0.296	NaN	0.296	0.336
12576.760	0.373	NaN	0.373	0.334
12581.537	0.365	NaN	0.365	0.337
12582.741	0.363	NaN	0.363	0.335
12586.115	0.347	NaN	0.347	0.329
12585.829	0.327	NaN	0.327	0.328
12582.364	0.373	NaN	0.373	0.337
12579.597	0.286	NaN	0.286	0.328
12579.635	0.291	NaN	0.291	0.328
