18/08/2020	11:00
######	######	######	######
Input parameter	Value		
Start phase (Rad)	0.0000000000
Phase step (Rad)	1.0000000000
End phase (Rad)	50000.0000000000
Pulse 1 start time after trigger (ms)	0.1200000000
Pulse 2 start time after trigger (ms)	0.7200000000
Loop averages	1.0000000000
Sweep rate (Hz/s)	0.0000000000
k_eff  (m^-1)	0.0000000000
Pi pulse (us)	4.5000000000
Pulse separation  (ms)	3.0000000000
######	######	######	######	######
Laser phase (deg)	Average1	Standard Deviation	Average Population	Best fit
12578.039	0.287	NaN	0.287	0.328
12582.799	0.286	NaN	0.286	0.335
12582.133	0.307	NaN	0.307	0.337
12583.544	0.289	NaN	0.289	0.331
12578.278	0.291	NaN	0.291	0.327
12581.420	0.362	NaN	0.362	0.336
12575.907	0.367	NaN	0.367	0.337
12577.290	0.301	NaN	0.301	0.331
12583.645	0.296	NaN	0.296	0.331
12579.603	0.347	NaN	0.347	0.328
12585.790	0.362	NaN	0.362	0.328
12579.626	0.339	NaN	0.339	0.328
12580.099	0.354	NaN	0.354	0.330
12579.686	0.342	NaN	0.342	0.328
12578.612	0.299	NaN	0.299	0.326
12585.586	0.380	NaN	0.380	0.327
12579.333	0.333	NaN	0.333	0.327
12577.417	0.299	NaN	0.299	0.330
12578.637	0.299	NaN	0.299	0.326
12582.930	0.294	NaN	0.294	0.334
12583.613	0.299	NaN	0.299	0.331
12581.891	0.330	NaN	0.330	0.337
12577.258	0.304	NaN	0.304	0.331
12586.470	0.361	NaN	0.361	0.331
12577.613	0.302	NaN	0.302	0.329
12577.353	0.308	NaN	0.308	0.331
12583.123	0.288	NaN	0.288	0.334
12581.153	0.371	NaN	0.371	0.336
12579.544	0.345	NaN	0.345	0.328
12578.847	0.310	NaN	0.310	0.326
12578.963	0.309	NaN	0.309	0.326
12584.847	0.364	NaN	0.364	0.326
12583.375	0.296	NaN	0.296	0.332
12582.302	0.295	NaN	0.295	0.337
12578.755	0.306	NaN	0.306	0.326
12577.641	0.298	NaN	0.298	0.329
12572.871	0.291	NaN	0.291	0.326
12576.121	0.374	NaN	0.374	0.336
12576.564	0.340	NaN	0.340	0.335
12575.165	0.369	NaN	0.369	0.336
12581.340	0.353	NaN	0.353	0.336
12580.909	0.374	NaN	0.374	0.335
12582.817	0.293	NaN	0.293	0.335
12578.598	0.293	NaN	0.293	0.326
12575.322	0.379	NaN	0.379	0.337
12580.057	0.360	NaN	0.360	0.330
12578.812	0.303	NaN	0.303	0.326
12577.362	0.309	NaN	0.309	0.331
12582.487	0.299	NaN	0.299	0.336
12576.990	0.313	NaN	0.313	0.333
12580.266	0.375	NaN	0.375	0.331
12575.947	0.371	NaN	0.371	0.337
12576.627	0.341	NaN	0.341	0.335
12572.677	0.293	NaN	0.293	0.326
12579.726	0.361	NaN	0.361	0.328
12578.637	0.298	NaN	0.298	0.326
12584.866	0.361	NaN	0.361	0.326
12585.478	0.382	NaN	0.382	0.327
12577.396	0.295	NaN	0.295	0.331
12583.890	0.314	NaN	0.314	0.329
12584.721	0.341	NaN	0.341	0.326
12577.196	0.313	NaN	0.313	0.332
12587.762	0.308	NaN	0.308	0.337
12583.157	0.294	NaN	0.294	0.333
12587.044	0.330	NaN	0.330	0.334
12576.677	0.348	NaN	0.348	0.334
12578.999	0.328	NaN	0.328	0.326
12579.188	0.328	NaN	0.328	0.327
12577.861	0.292	NaN	0.292	0.328
12573.696	0.297	NaN	0.297	0.330
12571.799	0.319	NaN	0.319	0.327
